"purchase_id","player_id","purchase_amount","purchase_date","payment_method","days_since_install","purchase_segment","is_first_purchase","data_version","created_at"
"0010b93d-eba5-445f-a850-21e2538ffe25","d1686f6f-d9c9-48ee-a44e-a6932eabb865",19.95,"2025-05-23","Gift Card",22,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"002dbaa7-09cd-4426-9789-e0418ba9a1a1","58b456f1-b757-4173-b901-dfdc322a69d8",14.21,"2025-02-08","Paypal",10,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"00580832-6be3-468f-9514-94836b2cfbf6","58cd0560-f1b4-4232-940d-253ad604b645",15.14,"2025-02-11","Credit Card",18,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"00657d05-c15d-4328-aedd-ad0b7faebc6b","980bf5de-a10d-47f8-8e46-a784c334a58f",16.15,"2025-03-18","Google Pay",0,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"006b8f1c-3ca6-487d-b0b7-ee7017e91be2","8b27e55c-6841-4e55-ad1d-a953319e7839",9.63,"2025-04-27","Google Pay",26,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"006dfd7a-4f5f-417d-9d05-a6e4fdecdc09","22a0df76-e0c8-459e-9627-924222b3e8df",0.30,"2025-05-20","Paypal",12,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"008d68de-a310-486b-a468-56b8d63639f7","0e7fdca3-0157-4f49-8ba6-44b84524ef08",15.88,"2025-04-29","Carrier Billing",17,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"009c0775-cc8d-42f0-a484-908398d44dd1","a7a347c1-a502-40db-8c7b-e4f53944051b",53.95,"2025-06-28","Apple Pay",28,"Dolphin",True,"2026-05-28","2026-05-28 20:42:17.731668"
"009cab9c-ebf0-4014-99ea-1eb17645ccfa","234a581e-2dad-4435-bcfd-56928dccb9ee",10.04,"2025-01-26","Debit Card",22,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"00c66eca-5ba2-4a83-8bda-4789c90f74ce","a5065c1f-6cb2-4550-b856-671ebf4177d2",373.93,"2025-03-07","Carrier Billing",29,"Dolphin",True,"2026-05-28","2026-05-28 20:42:17.731668"
"00da9bd6-c8ab-49cf-beca-669fb16996ce","f10a8b34-a38f-4b0f-b8ab-0a5c2210d293",7.54,"2025-05-07","Credit Card",16,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"0118e507-da71-4d39-a01c-85e7a248482e","736ee101-06b5-43dd-8d99-bccb2802266d",15.07,"2025-02-11","Carrier Billing",29,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"01222311-cc1a-4327-b4ed-cd29a21f4432","aec62c91-25ab-4788-be11-ed8dd137add5",4.92,"2025-06-17","Carrier Billing",2,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"0134d0ff-0574-4a70-92a9-e59806a1a0ae","1f82d737-5388-439e-9877-b4aa9e5739b8",1.56,"2025-07-28","Paypal",11,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"01803e46-35a8-40e7-815c-da7b96558658","07425b89-99e7-4417-9145-503da35a9411",9.07,"2025-02-06","Credit Card",18,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"01cfc07a-2f6a-4dee-9eac-56104fe704d3","80c3199d-e975-4ccd-85ef-13c59aa1f805",5.59,"2025-07-08","Credit Card",4,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"01d49eea-f630-47e0-acf8-7750baff15e1","5e23326e-96b3-4a01-a8ab-5622ab49e81a",4.92,"2025-02-10","Credit Card",4,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"01e642f6-7cd4-4ac7-af73-7722154f14df","b014ecea-4aea-4184-a562-5343cb7a3598",10.65,"2025-04-06","Paypal",5,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"01f9b15b-213e-48c7-ba01-57f417c46fe3","18bb4c37-a9cb-4706-9210-57011be1c66f",15.05,"2025-03-30","Apple Pay",22,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"021ef609-6b79-486d-b4bc-9a791b605f95","07ed1c89-8427-4eeb-a225-1a4f480e08de",9.86,"2025-06-17","Debit Card",6,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"0224fa6b-c082-4061-9e02-58634212b831","ad2e71b2-ac70-4e6b-ab1f-35375caa3a5d",7.08,"2025-03-30","Paypal",10,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"0224fe9c-814e-4192-b77b-16d61d749352","32e6555f-1157-483f-b9ed-be0696940fc8",2.22,"2025-02-07","Credit Card",21,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"0279c820-234e-4ac0-87cf-b1d60a6371ab","76761774-ce06-425d-b61c-88f4e0c2f39e",0.51,"2025-06-05","Google Pay",6,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"027e3463-d767-4003-9ce7-ac5ffe37b501","0a3dca5d-f08f-46d2-81e7-62e2c61a2e48",8.00,"2025-03-12","Credit Card",1,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"0282690e-c4c7-450c-8738-62d48093db65","b4b87a70-0599-45c9-9fc9-bf31840a1d70",168.96,"2025-01-27","Credit Card",23,"Dolphin",True,"2026-05-28","2026-05-28 20:42:17.731668"
"02864ffe-0478-40bc-ba76-d7f70bb8add5","02f3f465-7c55-432f-999b-fe78565838d5",0.71,"2025-04-09","Apple Pay",27,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"028fc81a-53e7-4371-8f04-b159c73d9f0c","e134fe72-5212-4a64-b203-d43d2a585a56",0.29,"2025-04-12","Paypal",24,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"02a4d484-eb9e-4ce6-bad9-e036de50d215","f372d501-cfb5-42dc-b697-934e9bbdbec2",288.03,"2025-06-20","Google Pay",23,"Dolphin",True,"2026-05-28","2026-05-28 20:42:17.731668"
"02ab3ea0-ec81-4aac-ba5d-f7bc8710c4ed","a12a4d62-6984-46b5-9488-9e3714b8094b",15.96,"2025-05-07","Apple Pay",18,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
"02c066d6-aad6-442c-8f4b-9a717d568f1c","c2a5f183-390b-40f3-b9fd-1a6acd64e968",14.93,"2025-05-13","Paypal",2,"Minnow",True,"2026-05-28","2026-05-28 20:42:17.731668"
